"start_position","end_position","chou_fasman","emini","kolaskar_tongaonkar","parker","isoelectric_point","aromaticity","hydrophobicity","stability","target"
1065,1076,0.994,1.79,1.01,2.367,5.56207275390625,0.11792828685259,-0.0450199203187254,32.4188207171316,"1"
380,392,1.065,0.209,1.024,0.885,5.71893310546875,0.0712945590994372,-0.190056285178236,34.8493621013133,"1"
11,18,0.95,1.08,1.048,1.95,4.34844970703125,0.152671755725191,-0.31145038167939,35.3576335877863,"1"
105,119,0.836,0.028,1.083,-0.827,11.7131958007812,0.0642857142857143,-0.622857142857144,79.0271428571428,"1"
172,186,1.014,0.185,1.044,1.96,4.74932861328125,0.0362694300518135,0.309326424870466,30.1497409326425,"1"
90,97,1.21,0.899,0.976,5.9,4.25592041015625,0.0386266094420601,-1.21759656652361,54.7918454935623,"1"
93,107,1.021,0.213,1.026,0.3,6.49957275390625,0.0913120567375887,-0.169680851063829,45.1182180851066,"1"
126,135,0.998,0.115,1.043,0.98,5.26776123046875,0.105939004815409,-0.391813804173354,34.8961476725522,"1"
162,176,0.995,0.441,1.041,0.587,5.78045654296875,0.0479744136460554,-0.635820895522389,64.4523560767594,"1"
68,77,0.903,0.124,1.082,-1.51,6.29486083984375,0.0894736842105263,-0.287368421052632,54.2126315789474,"1"
81,89,1.063,6.215,0.932,5.811,8.27288818359375,0.0724907063197026,-0.189591078066915,30.4420260223048,"1"
159,165,1.106,1.071,1.045,1.614,5.81036376953125,0.103274559193955,-0.143828715365239,40.2732997481108,"1"
702,713,1.024,2.574,0.969,2.225,5.87799072265625,0.0772251308900523,-0.600130890052354,31.6145287958116,"1"
119,126,1.027,1.493,0.944,4.987,5.55364990234375,0.0602409638554217,-0.507530120481928,31.7201807228916,"1"
585,596,1.013,1.586,0.994,3.358,5.87799072265625,0.0772251308900523,-0.600130890052354,31.6145287958116,"1"
81,95,0.941,0.471,1.052,0.533,4.84906005859375,0.05,-0.251,30.178,"1"
141,153,1.054,1.028,1.032,2,8.25653076171875,0.0805687203791469,-0.429857819905214,29.3042654028436,"1"
71,85,1.055,1.233,1.021,1.413,8.58111572265625,0.0905432595573441,-0.424144869215292,35.7809255533199,"1"
69,83,1.121,0.091,1.023,3.113,4.25946044921875,0.0526315789473684,0.109649122807017,55.9271929824561,"1"
390,401,1.147,0.064,1.077,1.85,5.49578857421875,0.0956521739130435,-0.123695652173913,32.1848260869565,"1"
1102,1116,1.201,0.272,0.971,2.593,6.49957275390625,0.0913120567375887,-0.169680851063829,45.1182180851066,"1"
93,102,0.932,0.104,1.066,0.15,6.74053955078125,0.1,-0.704124999999999,33.1816250000001,"1"
38,47,0.885,0.301,1.045,-0.63,6.29486083984375,0.0894736842105263,-0.287368421052632,54.2126315789474,"1"
